 Popolazione residente al 1° gennaio 2020 per sesso, età e stato civile
ItaliaEtà	Celibi	Coniugati	Divorziati	Vedovi	Uniti civilmente	Maschi già in unione civile (per scioglimento unione)	Maschi già in unione civile (per decesso del partner)	Totale maschi	Nubili	Coniugate	Divorziate	Vedove	Unite civilmente	Femmine già in unione civile (per scioglimento unione)	Femmine già in unione civile (per decesso del partner)	Totale femmine	Totale
33	220.938	105.925	1.877	94	269	6	0	329.109	160.053	158.023	4.531	505	177	3	1	323.293	652.402
34	213.066	122.259	2.478	97	263	3	0	338.166	152.833	174.966	5.744	614	213	4	1	334.375	672.541
35	201.728	139.303	3.160	133	227	5	1	344.557	143.610	189.052	6.783	796	211	4	1	340.457	685.014
36	191.613	154.381	3.904	174	297	3	0	350.372	135.919	201.469	8.060	943	209	5	1	346.606	696.978
37	185.088	171.021	4.885	203	275	3	1	361.476	131.066	217.247	9.509	1.228	245	5	0	359.300	720.776
38	175.455	181.318	5.646	274	302	4	1	363.000	124.174	225.918	10.916	1.471	212	2	0	362.693	725.693
39	170.081	196.155	6.728	311	297	4	0	373.576	118.555	237.146	12.503	1.743	202	4	1	370.154	743.730
40	165.211	209.138	8.049	417	346	7	2	383.170	115.885	250.926	14.577	2.082	226	5	0	383.701	766.871
41	167.051	226.343	9.643	526	311	3	4	403.881	116.470	267.264	17.070	2.595	203	8	1	403.611	807.492
42	163.358	240.101	11.095	596	371	4	1	415.526	114.423	280.727	19.235	3.058	230	5	2	417.680	833.206
43	162.268	256.836	13.168	745	340	5	2	433.364	113.752	296.768	21.679	3.667	228	6	0	436.100	869.464
44	161.778	274.898	15.184	963	425	7	2	453.257	113.141	314.620	24.866	4.294	251	2	0	457.174	910.431
45	160.121	292.398	17.271	1.107	453	4	4	471.358	111.809	331.300	27.218	5.269	230	4	3	475.833	947.191
46	149.204	297.265	19.036	1.321	416	5	0	467.247	105.474	333.312	29.235	5.872	239	4	1	474.137	941.384
47	142.286	307.674	20.506	1.561	411	6	1	472.445	99.755	339.744	31.425	6.837	209	2	0	477.972	950.417
48	134.483	315.812	22.499	1.768	417	4	7	474.990	95.181	348.082	33.339	7.895	216	3	2	484.718	959.708
49	124.302	320.277	23.728	2.023	421	4	5	470.760	88.869	347.337	34.990	8.915	187	6	1	480.305	951.065
50	118.837	334.535	26.187	2.339	396	3	2	482.299	86.539	360.236	36.617	10.453	174	6	1	494.026	976.325
51	110.790	337.661	26.463	2.699	429	7	2	478.051	81.423	359.567	37.668	12.089	173	6	4	490.930	968.981
52	103.687	343.117	27.991	3.080	405	2	7	478.289	78.196	363.736	38.566	13.557	174	4	6	494.239	972.528
53	98.801	351.478	29.315	3.711	427	3	1	483.736	74.399	368.041	39.195	15.296	144	2	2	497.079	980.815
54	91.079	356.009	30.189	4.061	424	2	5	481.769	70.630	368.412	39.686	17.398	154	2	4	496.286	978.055
55	85.468	364.826	31.406	4.685	390	1	7	486.783	67.599	375.004	40.538	20.088	148	5	6	503.388	990.171
56	73.992	344.700	29.240	5.072	402	4	5	453.415	60.470	354.868	37.733	21.203	131	3	2	474.410	927.825
57	66.441	335.489	28.369	5.469	342	2	4	436.116	55.599	344.059	35.665	23.910	115	3	2	459.353	895.469
58	61.417	330.956	27.178	5.778	335	0	4	425.668	52.187	337.433	34.617	26.358	110	2	4	450.711	876.379
59	55.000	323.684	25.692	6.338	307	0	5	411.026	48.280	326.264	32.991	28.983	99	1	3	436.621	847.647
60	50.749	317.265	24.550	6.933	264	3	8	399.772	45.460	317.654	30.782	31.779	87	1	4	425.767	825.539
61	45.931	303.271	22.423	7.480	273	3	4	379.385	41.428	303.360	28.880	34.198	72	1	7	407.946	787.331
62	42.902	301.276	21.770	8.074	248	1	1	374.272	39.250	298.925	27.363	37.600	78	2	1	403.219	777.491
63	39.117	296.816	20.172	8.874	212	4	2	365.197	36.379	291.077	25.660	41.352	63	1	2	394.534	759.731
64	36.120	291.635	18.753	9.590	194	4	0	356.296	34.395	284.159	23.871	44.473	56	3	5	386.962	743.258
65	33.386	286.780	17.449	10.578	184	0	1	348.378	32.308	277.054	22.522	49.273	43	4	2	381.206	729.584
66	30.244	274.653	15.667	11.171	137	1	5	331.878	29.346	260.309	20.540	51.372	42	0	1	361.610	693.488
67	28.307	268.201	14.710	12.039	144	1	2	323.404	28.078	253.389	19.111	55.467	50	0	3	356.098	679.502
68	26.628	266.666	13.584	13.029	142	0	8	320.057	26.132	248.500	18.008	61.212	43	1	3	353.899	673.956
69	25.946	274.932	13.190	14.817	132	2	4	329.023	26.432	252.101	17.799	69.082	40	2	5	365.461	694.484
70	24.387	274.828	12.370	16.341	124	2	6	328.058	25.418	247.360	16.549	76.723	26	1	5	366.082	694.140
71	24.336	282.833	11.647	18.811	124	2	5	337.758	25.835	251.403	16.151	87.638	30	0	4	381.061	718.819
72	22.413	273.185	10.855	19.960	98	1	4	326.516	24.383	236.107	15.080	94.465	22	1	3	370.061	696.577
73	21.215	267.243	9.942	21.906	100	2	3	320.411	23.436	228.032	14.260	102.920	16	0	4	368.668	689.079
74	15.532	201.279	7.129	18.562	61	0	0	242.563	18.629	166.991	10.209	87.340	12	0	1	283.182	525.745
75	15.674	201.550	6.691	20.289	70	0	3	244.277	18.728	163.520	9.671	97.668	17	0	2	289.606	533.883
76	15.038	196.333	5.936	22.006	62	0	3	239.378	18.981	157.211	9.074	105.972	8	0	0	291.246	530.624
77	14.826	188.173	5.471	23.208	69	0	3	231.750	18.696	146.603	8.503	112.780	12	2	0	286.596	518.346
78	14.417	181.309	5.055	24.960	67	0	0	225.808	18.793	137.156	7.747	121.799	9	0	4	285.508	511.316
79	14.902	190.835	4.877	29.362	42	0	2	240.020	20.245	138.371	7.655	143.542	8	0	3	309.824	549.844
80	13.645	179.206	4.058	30.577	30	0	1	227.517	19.551	123.956	6.681	148.370	6	0	3	298.567	526.084
81	12.020	162.959	3.636	31.080	25	0	0	209.720	18.628	107.525	5.957	152.038	2	0	1	284.151	493.871
82	10.374	139.685	2.881	30.141	21	1	1	183.104	17.230	87.067	4.907	146.759	2	0	1	255.966	439.070
83	8.844	119.351	2.248	28.921	13	0	3	159.380	16.042	70.460	4.182	142.867	1	1	1	233.554	392.934
84	8.285	110.879	2.031	29.853	18	0	0	151.066	15.784	60.915	3.699	148.109	2	1	1	228.511	379.577
85	7.338	94.710	1.602	29.274	20	0	1	132.945	14.941	49.005	3.060	144.299	3	0	4	211.312	344.257
86	6.213	80.353	1.275	28.109	16	0	1	115.967	14.073	38.317	2.713	137.724	1	0	2	192.830	308.797
87	5.252	65.931	971	26.412	3	1	0	98.570	13.167	29.723	2.212	129.728	1	0	5	174.836	273.406
88	4.464	55.563	774	24.934	13	0	3	85.751	12.229	23.070	1.932	122.517	2	0	2	159.752	245.503
89	3.916	46.062	651	23.933	12	0	2	74.576	11.852	17.891	1.792	118.550	0	0	0	150.085	224.661
90	2.905	33.565	453	19.615	1	0	1	56.540	10.005	11.917	1.267	98.286	3	0	2	121.480	178.020
91	2.303	24.755	345	16.979	3	0	0	44.385	8.829	8.414	1.038	85.561	5	0	1	103.848	148.233
92	1.732	18.196	251	14.422	2	0	0	34.603	7.476	5.720	827	72.747	0	0	0	86.770	121.373
93	1.281	12.303	162	11.646	1	0	0	25.393	6.087	3.795	637	59.369	0	0	2	69.890	95.283
94	930	8.275	112	8.892	0	0	0	18.209	4.986	2.483	523	47.246	1	0	3	55.242	73.451
95	704	5.237	80	7.148	2	0	0	13.171	4.000	1.619	379	36.480	0	0	0	42.478	55.649
96	490	3.354	59	5.408	0	0	0	9.311	2.970	1.001	246	27.919	0	0	0	32.136	41.447
97	323	2.045	29	3.726	0	0	0	6.123	2.091	618	207	20.262	0	0	1	23.179	29.302
98	230	1.237	25	2.515	0	0	0	4.007	1.584	374	125	14.470	0	0	0	16.553	20.560
99	155	723	17	1.634	0	0	0	2.529	1.005	227	71	9.589	0	0	0	10.892	13.421
100 e oltre	168	570	13	1.581	0	0	0	2.332	1.388	266	92	10.725	0	0	1	12.472	14.804
Totale	13.630.430	13.895.065	759.749	750.692	13.852	154	154	29.050.096	11.768.762	14.096.388	1.090.140	3.628.909	6.878	174	141	30.591.392	59.641.488
Risultati da 1 a 102 di 102 elementi
